,assortativity,ami,ami_resolution,ari,ari_resolution,sparsity,num_genes_kept,num_cells,num_em_iterations,num_categories,dataset_name,truth_class_name,source_url,paper_url,reported_cell_count,reported_truth_class
EM,-0.10353080505773143,0.5661420178067813,0.16,0.561927739745877,0.16,0.2632528848184628,643,648,20,4,E-GEOD-70580,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-70580/results/cell-plots,https://europepmc.org/article/MED/26878113,648,cell type
GmGM,0.04869358116145077,0.1334240396253014,1.98,0.06121604375540231,1.06,0.2632528848184628,643,648,20,4,E-GEOD-70580,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-70580/results/cell-plots,https://europepmc.org/article/MED/26878113,648,cell type
GmGM+nonpara,0.059532385029969444,0.13285038482267988,1.6400000000000001,0.0668796016150926,1.6400000000000001,0.2632528848184628,643,648,20,4,E-GEOD-70580,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-70580/results/cell-plots,https://europepmc.org/article/MED/26878113,648,cell type
Basic,0.030168447174237785,0.08623684192796342,0.02,0.04378938938678337,0.32,0.2632528848184628,643,648,20,4,E-GEOD-70580,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-70580/results/cell-plots,https://europepmc.org/article/MED/26878113,648,cell type
EM,0.5286756520528494,0.48408356418785914,0.22,0.45115212663079923,0.22,0.4356803767507034,673,667,12,4,E-ENAD-20,Factor Value[time],https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-20/results/cell-plots,https://europepmc.org/article/MED/30017245,667,time
GmGM,0.24549451061980476,0.4208121060516158,1.74,0.3486948213352762,1.12,0.4356803767507034,673,667,12,4,E-ENAD-20,Factor Value[time],https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-20/results/cell-plots,https://europepmc.org/article/MED/30017245,667,time
GmGM+nonpara,0.24549451061980476,0.4208121060516158,1.74,0.2979494363055146,0.98,0.4356803767507034,673,667,12,4,E-ENAD-20,Factor Value[time],https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-20/results/cell-plots,https://europepmc.org/article/MED/30017245,667,time
Basic,0.09820378381611236,0.1345443462634139,0.30000000000000004,0.11250207586034312,0.30000000000000004,0.4356803767507034,673,667,12,4,E-ENAD-20,Factor Value[time],https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-20/results/cell-plots,https://europepmc.org/article/MED/30017245,667,time
EM,0.43910658950865883,0.3356794040006551,1.8800000000000001,0.28645788137717276,0.19999999999999998,0.5017797257238674,728,734,20,3,E-GEOD-75140,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75140/results/cell-plots,https://europepmc.org/article/MED/26644564,734,cell type
GmGM,0.04088100743211536,0.21228804851949593,1.74,0.08652034755086918,1.48,0.5017797257238674,728,734,20,3,E-GEOD-75140,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75140/results/cell-plots,https://europepmc.org/article/MED/26644564,734,cell type
GmGM+nonpara,0.017090639106340694,0.16353617783957625,1.6600000000000001,0.06630895166336123,1.6600000000000001,0.5017797257238674,728,734,20,3,E-GEOD-75140,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75140/results/cell-plots,https://europepmc.org/article/MED/26644564,734,cell type
Basic,0.017090639106340694,0.07738209914604802,0.02,0.034564172146070916,0.02,0.5017797257238674,728,734,20,3,E-GEOD-75140,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-75140/results/cell-plots,https://europepmc.org/article/MED/26644564,734,cell type
EM,-0.03473543173492848,0.408833162591847,1.94,0.13000618940361974,1.8800000000000001,0.3908619804321608,1031,986,11,4,E-CURD-6,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-6/results/cell-plots,https://europepmc.org/article/MED/29030335 AND https://europepmc.org/article/MED/30545929,986,disease
GmGM,0.15329939270637596,0.5713251409767769,0.8,0.5930618138541791,0.8,0.3908619804321608,1031,986,11,4,E-CURD-6,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-6/results/cell-plots,https://europepmc.org/article/MED/29030335 AND https://europepmc.org/article/MED/30545929,986,disease
GmGM+nonpara,0.1533945808577692,0.5656691608917105,0.8,0.5863518710281764,0.8,0.3908619804321608,1031,986,11,4,E-CURD-6,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-6/results/cell-plots,https://europepmc.org/article/MED/29030335 AND https://europepmc.org/article/MED/30545929,986,disease
Basic,0.09315459396990065,0.16046602197285748,0.64,0.09429777179787531,0.64,0.3908619804321608,1031,986,11,4,E-CURD-6,Sample Characteristic[disease],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-6/results/cell-plots,https://europepmc.org/article/MED/29030335 AND https://europepmc.org/article/MED/30545929,986,disease
EM,-0.20940883660148596,0.14881970916236373,0.8200000000000001,0.09216120322151379,0.8,0.18151348054266042,984,993,11,3,E-MTAB-10596,Sample Characteristic[growth condition],https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-10596/results/cell-plots,https://europepmc.org/article/MED/35217915,993,growth condition
